Special Service
Amazon DocumentDB (with MongoDB compatibility)
Amazon Personalize
Amazon SageMaker Ground Truth
Amazon DataZone
Oracle Database@AWS
AWS IoT SiteWise
AWS App Runner
AWS CodeArtifact
Amazon Aurora DSQL
Amazon Lightsail
Amazon WorkSpaces Applications
AWS Deadline Cloud
Amazon Bedrock AgentCore
Amazon Quick Suite
AWS Ground Station
Amazon Managed Grafana
Amazon Location Service
Amazon Comprehend
Amazon Kendra
AWS Payment Cryptography
AWS Elemental MediaTailor
AWS B2B Data Interchange
AWS Elemental MediaLive
Amazon Kinesis Video Streams
Amazon RDS Custom for Oracle
