Special Service
Amazon WorkSpaces
Amazon DocumentDB (with MongoDB compatibility)
Amazon Lex
Amazon Personalize
Amazon Connect
Amazon SageMaker Ground Truth
Amazon DataZone
Oracle Database@AWS
Amazon Interactive Video Service (IVS)
Amazon Braket
AWS IoT SiteWise
AWS App Runner
Amazon Kinesis Video Streams
AWS CodeArtifact
Amazon Aurora DSQL
Amazon Lightsail
Amazon WorkSpaces Applications
AWS Deadline Cloud
Amazon Bedrock AgentCore
Amazon Quick Suite
Amazon Managed Grafana
Amazon Location Service
Amazon Comprehend
Amazon Kendra
AWS Payment Cryptography
AWS Elemental MediaTailor
AWS B2B Data Interchange
Amazon Q Business
AWS Elemental MediaLive
AWS Ground Station
Amazon RDS Custom for Oracle
